City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,57.78,90,10,4.0,PT,1674626076
1,mazamari,-11.3258,-74.5308,67.6,97,52,2.08,PE,1674626221
2,mar del plata,-38.0023,-57.5575,67.08,73,100,15.01,AR,1674626123
3,garissa,-0.4536,39.6401,78.87,69,94,5.88,KE,1674626223
4,la palma,33.8464,-118.0467,58.1,83,0,2.06,US,1674626223
5,ushuaia,-54.8,-68.3,47.86,61,40,9.22,AR,1674626107
6,lasa,46.6166,10.7002,33.03,72,83,3.04,IT,1674626225
7,new norfolk,-42.7826,147.0587,81.88,35,99,8.01,AU,1674626225
8,san patricio,28.017,-97.5169,56.84,55,0,15.75,US,1674626226
9,vaini,-21.2,-175.2,84.36,74,20,5.75,TO,1674626227
10,hobart,-42.8794,147.3294,82.22,53,75,9.22,AU,1674626228
11,mataura,-46.1927,168.8643,66.45,53,33,7.78,NZ,1674626229
12,poum,-20.2333,164.0167,83.37,74,13,5.46,NC,1674626229
13,albany,42.6001,-73.9662,31.68,85,69,4.5,US,1674626230
14,amapa,1.0,-52.0,68.94,100,100,2.86,BR,1674626126
15,hermanus,-34.4187,19.2345,58.8,57,7,8.37,ZA,1674626232
16,mehamn,71.0357,27.8492,33.75,93,40,6.91,NO,1674626233
17,arraial do cabo,-22.9661,-42.0278,74.66,92,100,10.87,BR,1674626234
18,rio grande,-32.035,-52.0986,69.69,78,13,6.64,BR,1674626235
19,hilo,19.7297,-155.09,73.27,94,19,3.0,US,1674626236
20,kodiak,57.79,-152.4072,36.91,100,100,4.61,US,1674626236
21,isabela,6.7085,121.9711,86.05,81,98,5.03,PH,1674626237
22,yeppoon,-23.1333,150.7333,89.38,65,0,10.4,AU,1674626238
23,fairbanks,64.8378,-147.7164,2.82,83,99,1.99,US,1674626239
24,busselton,-33.65,115.3333,82.6,37,1,6.2,AU,1674626239
25,jamestown,42.097,-79.2353,28.71,61,100,3.0,US,1674626225
26,rikitea,-23.1203,-134.9692,79.21,80,44,17.83,PF,1674626241
27,bambous virieux,-20.3428,57.7575,75.22,94,75,5.75,MU,1674626241
28,maridi,4.9158,29.4742,79.84,28,100,2.46,SS,1674626242
29,port alfred,-33.5906,26.891,66.18,75,100,3.0,ZA,1674626243
30,bluff,-46.6,168.3333,60.67,72,20,9.78,NZ,1674626244
31,lieksa,63.3167,30.0167,33.87,94,100,19.69,FI,1674626244
32,tuatapere,-46.1333,167.6833,62.13,66,67,8.08,NZ,1674626245
33,husavik,66.0449,-17.3389,31.28,96,100,22.95,IS,1674626246
34,tilichiki,60.4667,166.1,11.12,80,100,10.8,RU,1674626247
35,saint-philippe,-21.3585,55.7679,80.19,92,100,13.76,RE,1674626248
36,tasiilaq,65.6145,-37.6368,12.83,66,77,6.02,GL,1674626249
37,nador,35.174,-2.9287,50.25,76,75,10.36,MA,1674626017
38,port elizabeth,-33.918,25.5701,67.32,68,0,11.5,ZA,1674626217
39,sabha,27.0377,14.4283,49.5,36,3,8.48,LY,1674626250
40,petropavlovsk-kamchatskiy,53.0452,158.6483,21.79,68,75,24.61,RU,1674626251
41,nanortalik,60.1432,-45.2371,34.86,90,100,51.05,GL,1674626252
42,kieta,-6.2167,155.6333,82.4,73,100,3.29,PG,1674626253
43,chuy,-33.6971,-53.4616,64.18,72,71,5.28,UY,1674626253
44,half moon bay,37.4636,-122.4286,55.31,66,75,3.44,US,1674626254
45,zhigansk,66.7697,123.3711,-48.66,97,69,5.7,RU,1674626255
46,castro,-24.7911,-50.0119,60.49,93,1,3.74,BR,1674626255
47,ilulissat,69.2167,-51.1,6.31,82,94,9.75,GL,1674626256
48,nanga eboko,4.6833,12.3667,65.41,97,71,0.76,CM,1674626257
49,atuona,-9.8,-139.0333,78.49,78,13,17.05,PF,1674626257
50,vinh yen,21.31,105.5967,64.35,36,56,7.4,VN,1674626258
51,codrington,-38.2667,141.9667,70.65,50,26,20.22,AU,1674626258
52,urambo,-5.0667,32.05,68.13,86,86,1.83,TZ,1674626259
53,yar-sale,66.8333,70.8333,5.09,93,100,7.96,RU,1674626260
54,soledade,-28.8183,-52.5103,65.84,54,12,4.34,BR,1674626229
55,murud,18.3258,72.965,76.6,42,31,9.55,IN,1674626261
56,hamilton,39.1834,-84.5333,38.98,80,100,3.0,US,1674626262
57,thompson,55.7435,-97.8558,-3.84,77,100,3.44,CA,1674626263
58,bredasdorp,-34.5322,20.0403,63.9,49,3,2.66,ZA,1674626264
59,punta arenas,-53.15,-70.9167,51.91,46,75,13.8,CL,1674626265
60,kintampo,8.0563,-1.7306,75.06,69,15,3.4,GH,1674626266
61,cape town,-33.9258,18.4232,68.11,55,0,11.01,ZA,1674626266
62,puerto ayora,-0.7393,-90.3518,74.55,96,14,5.17,EC,1674626267
63,sao joao da barra,-21.6403,-41.0511,72.55,96,100,5.32,BR,1674626268
64,ampanihy,-24.7,44.75,82.67,59,99,19.28,MG,1674626268
65,berlevag,70.8578,29.0864,33.8,80,100,18.41,NO,1674626269
66,eureka,40.8021,-124.1637,45.25,93,55,1.01,US,1674626072
67,solton,52.8429,86.4787,14.74,92,100,15.79,RU,1674626270
68,leningradskiy,69.3833,178.4167,-24.27,94,20,8.52,RU,1674626271
69,hithadhoo,-0.6,73.0833,81.77,75,98,11.77,MV,1674626271
70,kidal,18.4411,1.4078,69.78,16,9,6.24,ML,1674626272
71,woodland,38.6785,-121.7733,45.86,85,14,1.01,US,1674626043
72,alofi,-19.0595,-169.9187,82.29,74,31,3.44,NU,1674626273
73,renqiu,38.6989,116.0936,28.02,11,40,12.01,CN,1674626274
74,yellowknife,62.456,-114.3525,-7.08,84,75,3.44,CA,1674626060
75,myitkyina,25.3833,97.4,82.15,23,46,0.65,MM,1674626275
76,tianpeng,30.9866,103.9393,49.73,34,57,3.62,CN,1674626275
77,saint-augustin,51.226,-58.6502,21.74,80,100,10.98,CA,1674626276
78,san quintin,30.4833,-115.95,54.43,57,50,1.72,MX,1674626277
79,hasaki,35.7333,140.8333,35.22,39,79,28.03,JP,1674626278
80,bandarbeyla,9.4942,50.8122,76.98,62,43,18.05,SO,1674626278
81,yagoua,10.3411,15.2329,71.19,17,91,6.73,CM,1674626279
82,pyay,18.8167,95.2167,91.53,17,12,4.03,MM,1674626280
83,east london,-33.0153,27.9116,65.34,77,75,10.36,ZA,1674626280
84,geraldton,-28.7667,114.6,84.61,48,0,21.85,AU,1674626281
85,havre-saint-pierre,50.2334,-63.5986,17.96,57,0,17.27,CA,1674626282
86,bushehr,28.9684,50.8385,59.09,77,40,4.61,IR,1674626283
87,kapaa,22.0752,-159.319,69.12,83,32,1.01,US,1674626284
88,namibe,-15.1961,12.1522,74.62,83,60,1.59,AO,1674626285
89,kalofer,42.6167,24.9833,27.03,91,98,1.3,BG,1674626285
90,kabompo,-13.5927,24.2008,65.57,94,100,4.56,ZM,1674626286
91,dingle,10.9995,122.6711,79.81,78,58,19.44,PH,1674626288
92,kadoma,34.7333,135.5833,37.65,61,75,16.11,JP,1674626289
93,lompoc,34.6391,-120.4579,52.92,79,4,5.99,US,1674626290
94,isangel,-19.55,169.2667,84.63,74,26,7.2,VU,1674626291
95,pevek,69.7008,170.3133,-14.82,75,61,1.54,RU,1674626291
96,clyde river,70.4692,-68.5914,-18.17,69,100,4.61,CA,1674626292
97,hofn,64.2539,-15.2082,40.28,66,41,15.9,IS,1674626294
98,boyolangu,-8.1181,111.8935,83.8,74,88,6.64,ID,1674626294
99,butaritari,3.0707,172.7902,81.3,79,91,18.1,KI,1674626295
100,komsomolskiy,40.4272,71.7189,27.32,74,100,0.0,UZ,1674626296
101,cidreira,-30.1811,-50.2056,74.41,89,12,9.42,BR,1674626297
102,padang,-0.9492,100.3543,86.05,67,100,2.01,ID,1674626298
103,norman wells,65.282,-126.8329,-7.56,84,75,3.44,CA,1674626299
104,aripuana,-9.1667,-60.6333,71.06,99,60,1.72,BR,1674626300
105,georgetown,5.4112,100.3354,85.93,74,20,6.91,MY,1674626170
106,bathsheba,13.2167,-59.5167,75.81,88,40,10.36,BB,1674626301
107,mahanoro,-19.9,48.8,78.35,88,94,3.09,MG,1674626302
108,yatou,37.15,122.3833,24.08,55,18,12.46,CN,1674626302
109,bethel,41.3712,-73.414,34.93,70,80,3.09,US,1674626303
110,tocopilla,-22.092,-70.1979,69.82,80,61,3.22,CL,1674626304
111,dumbravesti,45.0833,26.0,32.45,84,100,2.86,RO,1674626304
112,santa vitoria do palmar,-33.5189,-53.3681,64.27,74,52,5.48,BR,1674626305
113,alice springs,-23.7,133.8833,94.55,18,87,1.14,AU,1674626281
114,nemuro,43.3236,145.575,14.81,61,63,27.51,JP,1674626307
115,prince rupert,54.3161,-130.3201,46.49,92,100,27.63,CA,1674626104
116,quelimane,-17.8786,36.8883,76.95,88,75,13.0,MZ,1674626308
117,kjollefjord,70.9457,27.3465,33.85,93,40,6.91,NO,1674626309
